pos_review_title,pos_review_content,itemnumber,neg_review_content,maker,neg_review_title
Dogs love it !!!,We refrigerate this to make it easier to slice and then cut up the entire roll and mix it with grain free dry food as needed for our two dogs.  We tried another brand and even when we kept it in the refrigerator it was too soft to cut easily and made a big mess. Dogs love every flavor we have tried so,86351,"I cut the rolled dog food into small pieces and use it as a training reward. My dogs are eager to work for it but it is stickier than other formulas and after handing several pieces of the food I have to wipe my fingers clean. It also has a strong smoky aroma. For my use, it's too messy.",By Redbarn,Used as a training reward
eats it okay,"Gus eats it okay, but not with enthusiasm, so feed it to him in the morning when he is hungriest.  Seems to have the best fish ingredients, small sardines from the north Atlantic would have the least amount of pollution now that wild caught pacific salmon are showing up with radiation from Fukushima.",54308,"Sorry, dog didn't like; just smelled it and walked away. I left it there for a little while just to see if he'd eventually go back to it but he wouldn't ever go near it.",By Nature's Logic,Nature's Logic Sardine Recipe Canned Dog Food
My two fussy eaters really like this product.,"We have two small, fussy eater dogs. I have tried many, many canned dog foods. Then I read The Whole Dog Journal's approved wet foods list. This wet dog food was on the approved list so I ordered it. Lo and behold, my fussy eaters will eat it! Yahoo!! I would highly recommend this canned wet dog food",65680,"With ingredients like carageenen and caramel color, no thanks.",By Castor & Pollux,Not with those ingredients
Great product!,"This item is absolutely great, and Mikey loves it very much. He never liked any kind of fish. But to my surprise he gables it down.",108523,"While some dog foods have a more liquid consistency, this one has the worst kind of liquid composition. Frankly, it looks exactly like throw-up, or something a dog would vomit up after eating too much, or the wrong meal. But, what made it worse was the foul smell. Granted, a lot of dog foods are not ",By Canine Caviar,Across-the-Board Disgusting
My dog loves this food,"Like other reviewers, my 8 year old Chihuahua/mix loved the other brand that stopped making their venison canned food (which I don't understand, but whatever...) My pup has IBD and his Vet prescribed that original brand and he did well on it and he loved it. But he didn't like the other proteins (duck",88815,"I have been feeding my shih-Tzu this flavor for the past 6 months due my little boy's stomach issues. When I ran out, I ordered two new cases (silly me). When I opened the first can of the new shipment, I spooned out over 5 tbsp. of pure oil!!!  It looks like pure mush, certainly not pate as advertised",By Party Animal,Loaded with oil
Best for allergies,"All three of my westies have severe food allergies to Chicken, Beef, Turkey you name it there most likely allergic. So when I found Wild Callings Rabbit I decided to give it a shot and they LOVE it. They no longer give me a hard time eating. We also tried the buffalo and great too! No more allergies ",77372,"I recently noticed a change in the Hoppy's Rabbit both smell & consistency! Smells like liquid smoke,and my dogs will not touch it! They used to love it! I contacted Wild Calling and they said they switched the manufacturer that makes it,and I understand fully due to the fact the old manufacturer (Evangers",By Wild Calling,Not the Same! My Dogs no longer like it!
Health Benefits Out Weigh Negatives,My dog loves this product so much he barley eats his Acana dry food. He seems to be thriving well with this addition to his diet.  Many people complained about the smell of this product to the point that I was worried that my family would complain.  But I have found that while this product does smell,71116,I hate to send a bad review but this has nothing to do with chewy.com. This is the nastieat smelling dog food i have ever come across. It smells like poop. I only opened 2 cans because the 2nd time neither of my dogs would touch it. Had to throw that feeding away. Maybe it's healthy but it stinks so ,By PetKind,Disgusting Odor to this food!
I think she loves it!,Sophie loves this one! I think it's her favorite flavor!,52816,"Old ingredients:

Lamb, Lamb Broth, Lamb Liver, Egg, Pea Protein, Chick Peas, Tapioca, Natural Flavor, Spinach, Apples, Flaxseed Oil, Olive Oil, Sea Salt, Tricalcium Phosphate, Potassium Chloride, Choline Chloride, Taurine, Guar Gum, Herbs (Rosemary and Turmeric), Zinc Proteinate, Vitamin E Supplement",By Earthborn Holistic,Ingredients have changed
Healthy canned food,My dog loves this food. You can see the vegitables and chuncks of meat. I bought it for her to celebrate Christmas and New Year.,79770,"First ingredient is broth, high in salt. Then keep reading, they add additional salt. If it wasn't for the salt content I'd buy it. All the other ingredients seem healthy & the price is great",By Evolve,high salt
Used this canned food elderly dog,My 13 year old greyhound had to have most of her teeth removed. She is still healing and is having this canned food the most because she loves it. We use other cans of Evangers and Taste of the Wild Salmon kibbles. This has been her favorite as she is healing.,52640,"My dog loves it but the pieces are way to big, I had to cut it up for my dog to be able to eat it. No where did I see vegetables.",By Evanger's,This product looks good enough to eat
Great for Super Picky Moms and Dads!,"I am I believe almost ridiculously picky about what my girls eat and it's super hard to find a canned food that meets my criteria. Has to be fish based with only wild caught fish and no other animal proteins, grains or fillers and it cannot contain carrageenan. I have found about 4 on the market so far",71104,"Unfortunately I had to order a case of this (salmon). It smells like potatoes, I doubt there is much actual salmon in this. Even mixing this in with his most favorite brand, he still would not go near it.
It would be cheaper and healthier to just buy human grade salmon than this stuff. Wish Chewy would",By PetKind,Dog wouldn't touch it
like my food,Have used evangers for the 3 years of my life and would'nt feed anything else. My groomer got me hooked and am very pleased. First time for  lamb stew. But was very yummy!!!,52646,"Ordered this Lamb Stew, dogs loved it. What I didn't like is it is 90% water/broth and about 10% or less of meat. As far as stew, didn't find any vegetables. I ended up dumping out the water and just giving the meat. One would think Evangers would not be so stingy with the meat considering the cost of",By Evanger's,"Mostly Water, hardly any meat"
